2,23,14,4,336347
2,23,15,2,216867
2,23,16,1,143748
2,23,17,2,96106
2,23,18,3,97657
2,23,19,0,0
1,24,1,0,611127
1,24,2,0,648695
1,24,3,0,648439
1,24,4,0,660655
1,24,5,0,677778
1,24,6,0,608163
1,24,7,0,541675
1,24,8,0,514860
1,24,9,0,506051
1,24,10,0,507448
1,24,11,0,499502
1,24,12,1,440320
1,24,13,1,343997
1,24,14,3,250321
1,24,15,1,153677
1,24,16,0,91698
1,24,17,0,50022
1,24,18,1,35246
1,24,19,0,0
2,24,1,0,595596
2,24,2,0,632515
2,24,3,0,636578
2,24,4,0,654622
2,24,5,0,691198
2,24,6,0,661476
2,24,7,0,634507
2,24,8,0,627451
2,24,9,0,620220
2,24,10,0,606394
2,24,11,0,598788
2,24,12,0,533957
2,24,13,0,443526
2,24,14,0,336347
2,24,15,0,216867
2,24,16,1,143748
2,24,17,0,96106
2,24,18,0,97657
2,24,19,0,0
1,25,1,0,611127
1,25,2,0,648695
1,25,3,0,648439
1,25,4,0,660655
1,25,5,0,677778
1,25,6,0,608163
1,25,7,0,541675
1,25,8,0,514860
1,25,9,0,506051
1,25,10,2,507448
1,25,11,2,499502
1,25,12,3,440320
1,25,13,1,343997
1,25,14,3,250321
1,25,15,4,153677
1,25,16,2,91698
1,25,17,0,50022
1,25,18,0,35246
1,25,19,0,0
2,25,1,0,595596
2,25,2,0,632515
2,25,3,0,636578
2,25,4,0,654622
2,25,5,0,691198
2,25,6,1,661476
2,25,7,0,634507
2,25,8,0,627451
2,25,9,0,620220
2,25,10,0,606394
2,25,11,0,598788
2,25,12,0,533957
2,25,13,1,443526
2,25,14,0,336347
2,25,15,0,216867
2,25,16,1,143748
2,25,17,0,96106
2,25,18,0,97657
2,25,19,0,0
1,26,1,0,611127
1,26,2,0,648695
1,26,3,0,648439
1,26,4,0,660655
1,26,5,0,677778
1,26,6,0,608163
1,26,7,0,541675
1,26,8,0,514860
1,26,9,0,506051
1,26,10,0,507448
1,26,11,0,499502
1,26,12,1,440320
1,26,13,0,343997
1,26,14,0,250321
1,26,15,0,153677
1,26,16,1,91698
1,26,17,0,50022
1,26,18,0,35246
1,26,19,0,0
2,26,1,0,595596
2,26,2,0,632515
2,26,3,0,636578
2,26,4,0,654622
2,26,5,0,691198
2,26,6,0,661476
2,26,7,0,634507
2,26,8,0,627451
2,26,9,0,620220
2,26,10,0,606394
2,26,11,0,598788
2,26,12,0,533957
2,26,13,0,443526
2,26,14,0,336347
2,26,15,0,216867
2,26,16,0,143748
2,26,17,0,96106
2,26,18,0,97657
2,26,19,0,0
1,27,1,0,611127
1,27,2,0,648695
1,27,3,0,648439
1,27,4,0,660655
1,27,5,0,677778
1,27,6,0,608163
1,27,7,0,541675
1,27,8,0,514860
1,27,9,0,506051
1,27,10,0,507448
1,27,11,0,499502
1,27,12,0,440320
1,27,13,2,343997
1,27,14,0,250321
1,27,15,1,153677
1,27,16,0,91698
1,27,17,0,50022
1,27,18,0,35246
1,27,19,0,0
2,27,1,0,595596
2,27,2,0,632515
2,27,3,0,636578
2,27,4,0,654622
2,27,5,0,691198
2,27,6,0,661476
2,27,7,0,634507
2,27,8,0,627451
2,27,9,0,620220
2,27,10,0,606394
2,27,11,0,598788
2,27,12,0,533957
2,27,13,0,443526
2,27,14,0,336347
2,27,15,0,216867
2,27,16,0,143748
2,27,17,0,96106
2,27,18,0,97657
2,27,19,0,0
1,28,1,0,611127
1,28,2,0,648695
1,28,3,0,648439
1,28,4,0,660655
1,28,5,0,677778
1,28,6,0,608163
1,28,7,0,541675
1,28,8,0,514860
1,28,9,0,506051
1,28,10,1,507448
1,28,11,0,499502
1,28,12,1,440320
1,28,13,3,343997
1,28,14,5,250321
1,28,15,4,153677
1,28,16,5,91698
1,28,17,0,50022
1,28,18,1,35246
1,28,19,0,0
2,28,1,0,595596
2,28,2,0,632515
2,28,3,0,636578
2,28,4,0,654622
2,28,5,0,691198
2,28,6,0,661476
2,28,7,0,634507
2,28,8,0,627451
2,28,9,0,620220
2,28,10,0,606394
2,28,11,0,598788
2,28,12,1,533957
2,28,13,0,443526
2,28,14,0,336347
2,28,15,0,216867
2,28,16,0,143748
2,28,17,0,96106
2,28,18,3,97657
2,28,19,0,0
1,29,1,0,611127
1,29,2,0,648695
1,29,3,0,648439
1,29,4,0,660655
1,29,5,0,677778
1,29,6,0,608163
